Question,K,Sources,Answer,Reference Answer,ROUGE-L,BLEU,Retrieval Recall,Latency,Human Relevance Score,Human Faithfulness Score,Human Clarity Score,Human Comment
What are the benefits of RAG?,1,article_retrieval-augmented-generation.txt,"The benefits of RAG are: 
1. Access to fresh information 
2. Factual grounding.","RAG can improve factual grounding, provide access to fresh or domain-specific information, reduce hallucinations, and make answers easier to verify through retrieved sources.",0.2162,0.0844,0.3333333333333333,0.86,,,,
What are the benefits of RAG?,10,"article_retrieval-augmented-generation.txt, article_building-rag-aspnet-core.txt, wiki_retrieval-augmented_generation.txt, article_best-open-source-rag-frameworks.txt, article_best-open-source-rag-frameworks.txt, article_building-rag-aspnet-core.txt, article_state-of-rag-genai.txt, article_state-of-rag-genai.txt, article_best-open-source-rag-frameworks.txt, article_best-open-source-rag-frameworks.txt","The benefits of RAG include: 
1. Access to fresh information, 
2. Factual grounding, 
3. Reduction of AI hallucinations, 
4. Reduced need to retrain LLMs with new data, 
5. Ability to include sources in responses for transparency and verification.","RAG can improve factual grounding, provide access to fresh or domain-specific information, reduce hallucinations, and make answers easier to verify through retrieved sources.",0.2258,0.0817,1.0,6.526,,,,
What are the benefits of RAG?,20,"article_retrieval-augmented-generation.txt, article_building-rag-aspnet-core.txt, wiki_retrieval-augmented_generation.txt, article_best-open-source-rag-frameworks.txt, article_best-open-source-rag-frameworks.txt, article_building-rag-aspnet-core.txt, article_state-of-rag-genai.txt, article_state-of-rag-genai.txt, article_best-open-source-rag-frameworks.txt, article_best-open-source-rag-frameworks.txt, article_best-open-source-rag-frameworks.txt, article_retrieval-augmented-generation.txt, article_best-open-source-rag-frameworks.txt, article_best-open-source-rag-frameworks.txt, article_building-rag-aspnet-core.txt, article_state-of-rag-genai.txt, article_best-open-source-rag-frameworks.txt, wiki_retrieval-augmented_generation.txt, article_state-of-rag-genai.txt, wiki_retrieval-augmented_generation.txt","The benefits of RAG include: 
1. Access to fresh information, 
2. Factual grounding, 
3. Reduced need to retrain LLMs with new data, 
4. Ability to include sources in responses for transparency and verification, 
5. Cost savings, 
6. Improved security and data privacy, 
7. Reduced AI hallucinations, 
8. Ability to handle multimodal data, 
9. Enhanced performance optimization, 
10. Simplified architecture, and 
11. Comprehensive retrieval of relevant information.","RAG can improve factual grounding, provide access to fresh or domain-specific information, reduce hallucinations, and make answers easier to verify through retrieved sources.",0.1556,0.0468,1.0,12.196,,,,
What is a large language model?,1,wiki_prompt_engineering.txt,Insufficient information.,"A large language model is a neural network trained on large text corpora to perform language tasks such as generation, summarization, translation, and question answering.",0.0,0.0,0.0,0.758,,,,
What is a large language model?,10,"wiki_prompt_engineering.txt, wiki_large_language_model.txt, wiki_large_language_model.txt, wiki_large_language_model.txt, wiki_large_language_model.txt, wiki_artificial_intelligence.txt, wiki_large_language_model.txt, wiki_large_language_model.txt, wiki_large_language_model.txt, wiki_large_language_model.txt","A large language model (LLM) is a neural network trained on a vast amount of text for natural language processing tasks, especially language generation. LLMs can generate, summarize, translate and parse text in many contexts, and are a foundational technology behind modern chatbots.","A large language model is a neural network trained on large text corpora to perform language tasks such as generation, summarization, translation, and question answering.",0.3824,0.1918,1.0,6.525,,,,
What is a large language model?,20,"wiki_prompt_engineering.txt, wiki_large_language_model.txt, wiki_large_language_model.txt, wiki_large_language_model.txt, wiki_large_language_model.txt, wiki_artificial_intelligence.txt, wiki_large_language_model.txt, wiki_large_language_model.txt, wiki_large_language_model.txt, wiki_large_language_model.txt, wiki_large_language_model.txt, wiki_large_language_model.txt, wiki_artificial_intelligence.txt, article_building-rag-aspnet-core.txt, wiki_large_language_model.txt, wiki_knowledge_graph.txt, wiki_knowledge_graph.txt, wiki_natural_language_processing.txt, wiki_natural_language_processing.txt, wiki_natural_language_processing.txt","A large language model (LLM) is a neural network trained on a vast amount of text for natural language processing tasks, especially language generation. LLMs can generate, summarize, translate and parse text in many contexts, and are a foundational technology behind modern chatbots.","A large language model is a neural network trained on large text corpora to perform language tasks such as generation, summarization, translation, and question answering.",0.3824,0.1918,1.0,11.564,,,,
What is a vector database?,1,wiki_vector_database.txt,A vector database is a database that stores and retrieves embeddings of data in vector space.,A vector database stores embeddings and retrieves semantically similar records using vector similarity search.,0.4667,0.1884,1.0,0.809,,,,
What is a vector database?,10,"wiki_vector_database.txt, wiki_vector_database.txt, wiki_vector_database.txt, wiki_vector_database.txt, article_state-of-rag-genai.txt, article_building-rag-aspnet-core.txt, article_retrieval-augmented-generation.txt, wiki_vector_database.txt, article_best-open-source-rag-frameworks.txt, wiki_artificial_intelligence.txt","A vector database is a database that stores and retrieves embeddings of data in vector space, allowing users to search for records semantically similar to a given input.",A vector database stores embeddings and retrieves semantically similar records using vector similarity search.,0.381,0.1205,1.0,0.829,,,,
What is a vector database?,20,"wiki_vector_database.txt, wiki_vector_database.txt, wiki_vector_database.txt, wiki_vector_database.txt, article_state-of-rag-genai.txt, article_building-rag-aspnet-core.txt, article_retrieval-augmented-generation.txt, wiki_vector_database.txt, article_best-open-source-rag-frameworks.txt, wiki_artificial_intelligence.txt, wiki_knowledge_graph.txt, article_best-open-source-rag-frameworks.txt, wiki_retrieval-augmented_generation.txt, article_best-open-source-rag-frameworks.txt, wiki_knowledge_graph.txt, wiki_vector_database.txt, wiki_knowledge_graph.txt, wiki_artificial_intelligence.txt, article_state-of-rag-genai.txt, article_retrieval-augmented-generation.txt","A vector database is a database that stores and retrieves embeddings of data in vector space, allowing users to search for records semantically similar to a given input.",A vector database stores embeddings and retrieves semantically similar records using vector similarity search.,0.381,0.1205,1.0,12.108,,,,
What is artificial intelligence?,1,wiki_artificial_intelligence.txt,"Artificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making.","Artificial intelligence is the capability of computational systems to perform tasks associated with human intelligence, such as reasoning, learning, perception, and decision making.",0.88,0.6066,1.0,0.952,,,,
What is artificial intelligence?,10,"wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt","Artificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making.","Artificial intelligence is the capability of computational systems to perform tasks associated with human intelligence, such as reasoning, learning, perception, and decision making.",0.88,0.6066,1.0,7.426,,,,
What is artificial intelligence?,20,"wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt","Artificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making.","Artificial intelligence is the capability of computational systems to perform tasks associated with human intelligence, such as reasoning, learning, perception, and decision making.",0.88,0.6066,1.0,11.375,,,,
What is deep learning?,1,wiki_deep_learning.txt,"Deep learning (DL) is a field in machine learning that utilizes multilayered neural networks to perform tasks such as classification, regression, and representation learning.","Deep learning is a subset of machine learning that uses multilayer neural networks to learn representations and solve tasks such as classification, regression, and generation.",0.6531,0.3552,1.0,0.888,,,,
What is deep learning?,10,"wiki_deep_learning.txt, wiki_deep_learning.txt, wiki_deep_learning.txt, wiki_artificial_intelligence.txt, wiki_deep_learning.txt, wiki_deep_learning.txt, wiki_deep_learning.txt, wiki_artificial_intelligence.txt, wiki_deep_learning.txt, wiki_deep_learning.txt","Deep learning refers to a class of machine learning algorithms in which a hierarchy of layers is used to transform input data into a progressively more abstract and composite representation. It focuses on utilizing multilayered neural networks to perform tasks such as classification, regression, and representation learning.","Deep learning is a subset of machine learning that uses multilayer neural networks to learn representations and solve tasks such as classification, regression, and generation.",0.4167,0.1856,1.0,0.894,,,,
What is deep learning?,20,"wiki_deep_learning.txt, wiki_deep_learning.txt, wiki_deep_learning.txt, wiki_artificial_intelligence.txt, wiki_deep_learning.txt, wiki_deep_learning.txt, wiki_deep_learning.txt, wiki_artificial_intelligence.txt, wiki_deep_learning.txt, wiki_deep_learning.txt, wiki_deep_learning.txt, wiki_artificial_intelligence.txt, wiki_artificial_intelligence.txt, wiki_deep_learning.txt, wiki_deep_learning.txt, wiki_artificial_intelligence.txt, wiki_deep_learning.txt, wiki_artificial_intelligence.txt, wiki_deep_learning.txt, wiki_deep_learning.txt","Deep learning refers to a class of machine learning algorithms in which a hierarchy of layers is used to transform input data into a progressively more abstract and composite representation. It utilizes multilayered neural networks to perform tasks such as classification, regression, and representation learning, and is inspired by biological neuroscience.","Deep learning is a subset of machine learning that uses multilayer neural networks to learn representations and solve tasks such as classification, regression, and generation.",0.3947,0.1709,1.0,12.292,,,,
What is multi-head attention?,1,wiki_attention_(machine_learning).txt,"Multi-head attention is a type of attention mechanism where the input (Q, K, V) is transformed by a learnable linear layer (A) before being passed to the MultiHead function, and the output is the same as applying the linear layer after the MultiHead function. In the case of multi-head self-attention, the input X is transformed by a linear layer before being passed to the MultiHead function.",Multi-head attention uses several attention heads in parallel so a transformer can capture different relationships or relevance patterns between tokens.,0.1333,0.0372,0.5,1.518,,,,
What is multi-head attention?,10,"wiki_attention_(machine_learning).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_attention_(machine_learning).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_attention_(machine_learning).txt, wiki_transformer_(deep_learning_architecture).txt","Multi-head attention is a mechanism where multiple attention heads are used in parallel to capture different types of relationships between tokens. Each attention head is computed with QKV attention as: 

{\displaystyle {\text{head}}_{i}={\text{Attention}}(QW_{i}^{Q},KW_{i}^{K},VW_{i}^{V})}

The outputs for the attention layer are concatenated to pass into the feedforward neural network layers. 

Concretely, let the multiple attention heads be indexed by {\displaystyle i}, then we have:

{\displaystyle {\text{MultiheadAttention}}(Q,K,V)={\text{Concat}}_{i\in [n_{\text{heads}}]}\left({\text{Attention}}(XW_{i}^{Q},XW_{i}^{K},XW_{i}^{V})\right)W^{O}}",Multi-head attention uses several attention heads in parallel so a transformer can capture different relationships or relevance patterns between tokens.,0.2759,0.0571,1.0,1.578,,,,
What is multi-head attention?,20,"wiki_attention_(machine_learning).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_attention_(machine_learning).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_attention_(machine_learning).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_attention_(machine_learning).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_transformer_(deep_learning_architecture).txt, wiki_attention_(machine_learning).txt, wiki_attention_(machine_learning).txt","Multi-head attention is a type of attention mechanism that allows a model to jointly attend to information from different representation subspaces at different positions. It is defined as:

{\displaystyle {\text{MultiheadAttention}}(Q,K,V)={\text{Concat}}_{i\in [n_{\text{heads}}]}\left({\text{Attention}}(QW_{i}^{Q},KW_{i}^{K},VW_{i}^{V})\right)W^{O}} 

where Q, K, and V are the query, key, and value matrices, respectively, and {\displaystyle W_{i}^{Q},W_{i}^{K},W_{i}^{V}} are the learnable weight matrices for each attention head. The outputs of each attention head are concatenated and linearly transformed using the output projection matrix {\displaystyle W^{O}}.",Multi-head attention uses several attention heads in parallel so a transformer can capture different relationships or relevance patterns between tokens.,0.125,0.0342,1.0,10.84,,,,
What is prompt engineering?,1,wiki_prompt_engineering.txt,"Insufficient information. The context does not provide a direct definition of prompt engineering, but rather describes its application, importance, and the job market for prompt engineers.",Prompt engineering is the practice of designing and refining prompts to guide an AI model toward useful and accurate outputs.,0.0,0.0,1.0,0.876,,,,
What is prompt engineering?,10,"wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt","Prompt engineering is the process of structuring natural language inputs (known as prompts) to produce specified outputs from a generative artificial intelligence (GenAI) model. It is the practice of designing and refining input instructions given to a generative AI model to produce more accurate, relevant, or useful outputs. According to the Oxford English Dictionary, it is ""The action or process of formulating and refining prompts for an artificial intelligence program, algorithm, etc., in order to optimize its output or to achieve a desired outcome; the discipline or profession concerned with this.""",Prompt engineering is the practice of designing and refining prompts to guide an AI model toward useful and accurate outputs.,0.2523,0.1124,1.0,4.572,,,,
What is prompt engineering?,20,"wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_large_language_model.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_prompt_engineering.txt, wiki_large_language_model.txt, wiki_large_language_model.txt, wiki_prompt_engineering.txt","Prompt engineering is the process of structuring natural language inputs (known as prompts) to produce specified outputs from a generative artificial intelligence (GenAI) model. It is the practice of designing and refining input instructions given to a generative AI model to produce more accurate, relevant, or useful outputs. According to the Oxford English Dictionary, it is ""The action or process of formulating and refining prompts for an artificial intelligence program, algorithm, etc., in order to optimize its output or to achieve a desired outcome; the discipline or profession concerned with this.""",Prompt engineering is the practice of designing and refining prompts to guide an AI model toward useful and accurate outputs.,0.2523,0.1124,1.0,11.754,,,,
What is retrieval augmented generation?,1,article_state-of-rag-genai.txt,"Retrieval Augmented Generation (RAG) offers a powerful approach for deploying accurate, reliable, and up-to-date information, enabling enterprises to build systems that are intelligent, compliant, secure, and scalable.",Retrieval augmented generation is a technique that retrieves relevant external information and provides it as context to a language model so the generated answer is more grounded and up to date.,0.2333,0.1175,0.3333333333333333,0.916,,,,
What is retrieval augmented generation?,10,"article_state-of-rag-genai.txt, article_state-of-rag-genai.txt, article_retrieval-augmented-generation.txt, wiki_retrieval-augmented_generation.txt, wiki_large_language_model.txt, wiki_vector_database.txt, article_state-of-rag-genai.txt, article_best-open-source-rag-frameworks.txt, wiki_retrieval-augmented_generation.txt, wiki_retrieval-augmented_generation.txt","Retrieval-Augmented Generation (RAG) is an AI framework that combines the strengths of traditional information retrieval systems with the capabilities of generative large language models (LLMs). It enables large language models to retrieve and incorporate new information from external data sources, allowing for more accurate, up-to-date, and relevant generation. RAG integrates LLMs with document retrieval systems, where a document retriever retrieves the most relevant documents based on a query, and the LLM generates an output based on both the query and context included from the retrieved documents.",Retrieval augmented generation is a technique that retrieves relevant external information and provides it as context to a language model so the generated answer is more grounded and up to date.,0.1833,0.0412,1.0,4.561,,,,
What is retrieval augmented generation?,20,"article_state-of-rag-genai.txt, article_state-of-rag-genai.txt, article_retrieval-augmented-generation.txt, wiki_retrieval-augmented_generation.txt, wiki_large_language_model.txt, wiki_vector_database.txt, article_state-of-rag-genai.txt, article_best-open-source-rag-frameworks.txt, wiki_retrieval-augmented_generation.txt, wiki_retrieval-augmented_generation.txt, wiki_retrieval-augmented_generation.txt, article_building-rag-aspnet-core.txt, article_building-rag-aspnet-core.txt, wiki_retrieval-augmented_generation.txt, article_retrieval-augmented-generation.txt, wiki_prompt_engineering.txt, article_state-of-rag-genai.txt, article_building-rag-aspnet-core.txt, article_state-of-rag-genai.txt, wiki_retrieval-augmented_generation.txt","Retrieval-Augmented Generation (RAG) is an AI framework that combines the strengths of traditional information retrieval systems with the capabilities of generative large language models (LLMs). It enables large language models to retrieve and incorporate new information from external data sources, allowing for more accurate, up-to-date, and relevant responses. RAG integrates information retrieval models with generative AI models, typically following a process that includes user input, information retrieval, integration, generation, and output.",Retrieval augmented generation is a technique that retrieves relevant external information and provides it as context to a language model so the generated answer is more grounded and up to date.,0.2095,0.0478,1.0,12.111,,,,
What is semantic similarity search?,1,article_retrieval-augmented-generation.txt,"Insufficient information. The context mentions ""semantic similarity"" but does not provide a definition of what it is. It only explains that embeddings in a high-dimensional space allow for fast and accurate retrieval based on semantic similarity.",Semantic similarity search retrieves items whose meanings are close to the query by comparing their vector embeddings rather than matching exact keywords only.,0.0,0.0,0.0,1.083,,,,
What is semantic similarity search?,10,"article_retrieval-augmented-generation.txt, article_state-of-rag-genai.txt, wiki_vector_database.txt, wiki_vector_database.txt, wiki_retrieval-augmented_generation.txt, wiki_natural_language_processing.txt, wiki_retrieval-augmented_generation.txt, article_building-rag-aspnet-core.txt, wiki_knowledge_graph.txt, article_building-rag-aspnet-core.txt","Semantic similarity search is a search method that uses embeddings in a high-dimensional space, allowing for fast and accurate retrieval based on semantic similarity, which enables the comparison of the semantic meaning of content.",Semantic similarity search retrieves items whose meanings are close to the query by comparing their vector embeddings rather than matching exact keywords only.,0.1379,0.071,1.0,1.1,,,,
What is semantic similarity search?,20,"article_retrieval-augmented-generation.txt, article_state-of-rag-genai.txt, wiki_vector_database.txt, wiki_vector_database.txt, wiki_retrieval-augmented_generation.txt, wiki_natural_language_processing.txt, wiki_retrieval-augmented_generation.txt, article_building-rag-aspnet-core.txt, wiki_knowledge_graph.txt, article_building-rag-aspnet-core.txt, wiki_natural_language_processing.txt, wiki_vector_database.txt, article_state-of-rag-genai.txt, article_best-open-source-rag-frameworks.txt, wiki_natural_language_processing.txt, wiki_retrieval-augmented_generation.txt, wiki_prompt_engineering.txt, wiki_natural_language_processing.txt, wiki_natural_language_processing.txt, wiki_artificial_intelligence.txt","Semantic similarity search is a technique that allows for fast and accurate retrieval of information based on the semantic meaning of content, using embeddings in a high-dimensional space to compare the meaning of words, phrases, or documents.",Semantic similarity search retrieves items whose meanings are close to the query by comparing their vector embeddings rather than matching exact keywords only.,0.1639,0.0679,1.0,9.917,,,,
